text,확진자수_pred,확진자수_gt,완치자수_pred,완치자수_gt,사망여부_pred,사망여부_gt,집단감염_pred,집단감염_gt,백신관련_pred,백신관련_gt,방역지침_pred,방역지침_gt,경제지원_pred,경제지원_gt,마스크_pred,마스크_gt,국제기구_pred,국제기구_gt,병원관련_pred,병원관련_gt
" "" busan = newsis hur sang - cheon reporter = busan city is speeding up vaccinations to restore the so - called "" corona blue "" to overcome the so - called "" corona blue "" . the company plans to form a collective area by completing 90 % , adults 80 % , and population of 70 % , and prepare for the transition by stepping on daily daily recovery . there are 1 . 82 million people . the inoculation rate to the population is 76 . 9 % and the completion is 54 . 1 % , which is cruising towards the goal of stepping up . it includes new vaccinations for pediatric adolescents and pregnant women aged 12 - 17 , and additional booster shot schedules for high - risk groups such as the elderly . in the case of 12 - 17 - year - old pediatric adolescents , the us , canada , germany , and israel recommends vaccinations for all adolescents over 12 years of age . ' 16 ~ 17 years old ( born 2004 ~ 2005 ) ' will be vaccinated from the 18th with advance reservation until the 29th . until november 12 , vaccination will be effective from the 1st of next month . the vaccination will be given a pure and vaccine in the consigned medical institution . in the analysis of the vaccination effect of 16 - 18 years in korea , the infection prevention effect is 95 . 8 % , and the severe death prevention effect is the effect of severe death . it is 100 % . this is necessary . ' pregnant women ' will be reserved from the 8th and will be inoculated from the 18th . ' additional vaccination ' is targeted for immunoes , corona 19 treatment hospital workers , nursing hospitals , facilities inpatients , entrance , and workers , employees of medical institutions above hospitals , senior citizens aged 60 or older ( 6 months old ) and high - risk groups . it is scheduled to proceed . in addition , busan plans to promote various measures to improve the inoculation rate . in order to spread the culture of participation in the citizen ' s vaccination , the government plans to conspiracy with citizens ' ideas and exemplary cases and discover and implement incentives for preferential treatment for the completion of the vaccinations . in particular , in order to encourage citizens to participate in the public field in the public sector , employees in public institutions in the city , district , county , and busan city will achieve",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
" "" in india , the fatal infectious disease ' nipah virus ' , which has a mortality rate of up to 75 % , has caused emergency health authorities . on the 5th , a 12 - year - old boy mohammed hasim , who was diagnosed with nipa virus infection in southern keralla , was killed for a week . 129 of them are medical staff , 30 people classified as close contacts are isolated , 11 patients complained of similar symptoms until the day before the death of hasim , and the minister of health , bina , said at the press conference , the sample test of the eight first contacts was judged to be a voice , [UNK] he said . the mortality rate is up to 75 % due to the ' common infectious disease ' . the average incubation is 5 - 14 days . the seizure may be a coma within 24 to 48 hours . it is not yet developed , so only the symptoms of antiviral drugs can be treated . it turned out that it was a bat . originally , the bat , who lived in the forest , was driven by a fruit tree near the pig farm due to the destruction of habitats , and the nipa virus of the bat spread through pigs . more than 100 people killed more than 100 people in malaysia for a year . since 2001 and 2007 , more than 50 viruses died in west bengol , india .",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "" ( seoul = yonhap news ) reporter lee eui - jin = as the number of vaccines in korea increased the number of vaccines in korea ' s new corona virus infection ( corona 19 ) , the report has also increased by 9 , 000 in the past three days . a total of 9 , 349 new cases reported to the health authorities that they suspected abnormal reactions after vaccination on 27th . there are 33 cases of cases , 33 cases of adverse events by day , 2 , 678 cases on the 25th , 3 , 93 cases on 26th , and 3 , 578 cases on 27th . there are 17 new death reports . four people were angry , one person , but the remaining one was found to have a jansen vaccine , and the causal relationship between inoculation and death was not yet confirmed . there were 56 cases of suspicion of allergic reactions , anaphylaxis , 52 of them were angry , three were astrazeneca , and one was jansen vaccine . there are 277 major adverse events that encompass permanent disorders and sequelae ( 143 pfizers , 102 astrazeneca , 30 jansen , and 2 cases ) . it was an example of reporting muscle pain and headaches . after the first vaccination with the astrazeneca vaccine , the second was 4 , 244 cumulative reports , with 397 suspicions of adverse events related to ' cross - vaccination ' . there were one death in the middle , two suspected anaphylaxis , and 10 major adverse events . the cross - vaccination reaction was overlapped in the entire adverse events . there are 16 , 124 cases of accumulation of suspicion of abnormal reactions , which is 0 . 41 % compared to the number of cumulative vaccinations ( 4 , 521 , 12 , 12 ) at 0 o ' clock on the day . the abnormal response report rate is 0 . 66 % , astrazeneca 0 . 50 % , jansen 0 . 49 % , and pfizer 0 . 31 % . the authorities classify the cases of adverse events based on the first symptoms at the time of reporting . a total of 519 cases of cumulative death reports at 0 o ' clock on the day are 285 pfizers , 222 astrazeneca , 9 moders and 3 jansen . if you were first reported as a different symptom and died of severe severe ( 237 )",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
" "" ( gumi = news1 ) reporter jung woo - yong = gumi - si , gyeongbuk , issued an administrative order for a collective prohibition from 0 o ' clock to 12th at midnight for 14 bowling alleys in the building on the 1st . in order to block additional confirmation , as of 0 o ' clock , the cumulative confirmation of gumi city is 1069 . as a month before the national competition , gumi city intensively inspects multi - use facilities , expands the preemptive test of corona dangerous groups , and administrative power to respond to defense . the market is focusing on the market . "" as the recent increase in confirmation of asymptomatic confirmation , one carelessness can lead to damage to the entire community ahead of the national competition . """,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
" "" the authorities have recently been inoculated with the expiration date of the corona 19 - year - old , and each inoculation agency has always been confirmed and inoculated . a total of 91 people have been inoculated with the expiration date for a total of 91 people . there was a negligence that first used the vaccine that was received later . in busan buk - gu mo hospital , the painting vaccine , which can be used by the 27th of last month , was inoculated to eight people on the 28th and 30th . in this regard , he complained of the body . "" he said , "" \ "" "" this part is emphasizing and educated by communicating with the medical community or local governments \ "" ※ ' your report is the news ' ytn is waiting for your precious report . kakaotalk ytn search for channel 02 - 398 - 8585 mail social @ ytn . co . kr online report www . ytn . co . kr """,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
" "" kiwoom securities evaluated philips van housen on the 4th that it was better than before corona 19 . philips van husen recorded sales of $ 2 . 31 billion ( about 2 . 67 trillion won ) in the second quarter of this year . the company recorded a large overall performance , which is 46 . 3 % compared to the same period last year and 11 . 2 % qoq . sales sales have risen to 25 % . "" in the case of north america , retail sales continued due to a decrease in the inflow of tourists , but the marketing and promotion costs decreased and the company ' s operating margin recorded 12 . 7 % . "" "" the restructuring related to the sale brand has been completed and contributed to improving profitability . "" ji sung - jin , a researcher , said , [UNK] this earnings announcement has resulted in a large increase in eps guidance . [UNK] i think it ' s a shame \ . [UNK] he emphasized , "" as china began to recover sales in asia , the earnings growth will continue in the second half . """,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "" on the last day of the chuseok holiday , there were a total of 15 confirmed as a new corona virus infection ( corona 19 ) , such as meeting a family for a holiday in jeonnam on the last day of the chuseok holiday . it was classified as jeonnam 2 , 919 ~ 2 , 933 . the area is 6 mokpo - si , 2 yeosu - si , 1 suncheon city , and 1 in goheung , gwangyang , damyang , muan , boseong , and jangseong - gun . he is a resident of other regions such as the metropolitan area , or jeonnam - do who have contacted him . most of them visited jeonnam house with their families around 18 days after the chuseok holiday began . during the chuseok holiday , if you contacted your family , relatives , and acquaintances living in other regions , it was recommended to have a free diagnostic test through a close screening clinic and a temporary screening test . △ 1 person to enter overseas ( nepal ) △ 1 existing confirmed person . kang young - gu , jeonnam - do health and welfare director , said , "" the increase in mobility between the region during the holiday season can be exposed to infections . "" if you meet your relatives and acquaintances , you must stop by a screening clinic and a temporary screening test , and you have to stay home for a certain period of time and wait for the result . [UNK] if so , i hope you will be inspected again . """,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" [ wuhan university dormitory , cholera infection [UNK] in jara , which is sold in traditional markets , the cholera chola chola chola ( world health organization ) proclaimed the new corona virus infection ( covid - 19 ) as a pandemic ( global trend ) on march 11 , 2020 . / who in wuhan city , hubei province , china , which was first reported in the new corona virus infected , another infectious disease , cholera infection , has been occurring in recent years . cholera is an infectious disease that causes acute diarrhea when eating contaminated foods or water in a vibrio cholerae . in china , only five people reported last year have so many cases of cholera infections . recently , a student at wuhan university was infected with cholera , and cholera was found in jara , which is being sold in the agricultural market . the student was transferred to a hospital containment ward on the 8th of the morning , showing fever , diarrhea and vomiting . wuhan university was informed of an emergency test for students living in the same dormitory after being notified of the provisional diagnosis that the student was infected with cholera . three close contacts of infected people were isolated . more than 250 students , including students and employees , were all voice results on the 10th . rumors that the dormitory students had an anal test due to cholera occurred rapidly through social media . the wuhang - gu government , which is located in wuhan university , has made no further proliferation , saying that no additional cases were found . wuhan city announced on the 14th that none of the people who came into contact with zara were infected . wuhan university infected and gara cholera bacteria said they were not related to each other . the store that sold this jara was ordered to stop operating for three days , and china classified cholera as the highest grade of ' class a ' . according to the world health organization ( who ) at the end of march this year , 1 . 3 million to 4 million people from the world are infected with cholera every year . however , in china , there were only 11 infected people in 2020 and 5 in 2021 , and no deaths were died . this is why the authorities are nervous about the sudden discovery of cholera in this wuhan . the world health organization ( who ) survey team , which investigates the origin of the new corona virus infection , visited the baishazhou agricultural products market in wuhan city , hubei",1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
" "" ( seoul = news1 ) choi soo - ah designer = """,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "" the number of new confirmed "" covid - 19 "" continued the ne - sari on weekends . according to the japan central defense countermeasures headquarters , the number of new domestic confirmation was 1619 as of 0 o ' clock . the number of confirmed employees recorded 24 , 8568 people ( 13 , 451 overseas ) . considering that , it is still judged to be a trend that is not much different from the previous one . the number of suspected reporting examiners is 32 , 435 , the number of temporary inspections in the metropolitan area is 72 , 815 ( 377 confirmed ) the total number of prosecutors ( 49 confirmed ) is 11 , 7101 cases and a total of 1619 new confirmed cases . 27 , 563 people are being isolated : 404 patients with severe hypothesis and 3 people were killed , with a cumulative death of 2279 ( 0 . 92 % of fatal rate ) . this is high , and experts believe that this confirmed trend will continue until the end of september , when the vaccine effect is expected to appear . the person said he was in vaccination . of these , 25 , 978 people completed the vaccination , a total of 14 , 60 , 951 people .",1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
" "" on the 4th , the government will carry out a special briefing related to the new corona virus infection ( corona 19 ) for pregnant women on the 4th . on the 4th of the day , the pregnant woman and special briefing related to additional vaccination will be conducted . "" "" \ "" . earlier , in august , 731 pregnant women were confirmed in korea , and 15 of them led to gastropolysis , leading to a full - fledged vaccination of pregnant women . in response to the regular briefing , the head of the centers for disease promotion announced the ' 4q vaccination plan ' in the regular briefing . the plan included pregnant women who were excluded from the plan due to vaccine supply and lack of vaccine supply and lack of research . pre - booking will take place on the 8th and the vaccination starts from the 18th of the same month . mrna ( messenger ribo nucleic acid ) vaccine is inoculated , but the types of vaccines have not been decided yet . moderna is four weeks . according to the defense authorities , the corona 19 - year - old did not include ingredients known to be harmful to pregnant women and fetuses . even if you are pregnant after one pregnancy , you may have a second vaccination . if you are in a poor health condition before the vaccination or if you are in contact with the corona 19 patients , it is recommended to postpone vaccine and vaccination . it is good to avoid heavy objects , lifting , high intensity exercise , etc . after vaccination . speaking , muscle pain , chills , joint pain , nausea , fever , etc . various . it is also known that there are side effects on long - term safety as vaccines have been developed recently . """,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
" "" ( wuhan afp = news1 ) reporter udon myung = on the 25th ( local time ) , the elementary school staff are disinfected in corona 19 ahead of the opening of wuhan , hubei province , china . © afp = news 1 """,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" [ monkey duchang virus . the yonhap news who declared an international health emergency ( pheic ) for the monkey duchang on the 23rd ( local time ) . it has been declared for two years after proclaiming an international health emergency . the who declared an international health emergency about a month later , when unidentified pneumonia occurred in wuhan , china at the end of december 2019 . since then , corona 19 trend has been spreading to the level of fands of fands , and it is now the seventh since 2007 to declare an international health emergency . the who , which has declared a health emergency , is currently maintaining an international health emergency only for corona 19 and polio , which has been identified in korea , including korea , including korea . the number of confirmed people around the world is about 16 , 000 , and the monkey duchang is the name given to the first discovery of the virus in the monkey in 1958 . later , in 1970 , the spread of people was first confirmed . ] ]",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
" "" the us administration is expected to start the first vaccination as a pfizer vaccine from the 20th when the us administration decided to start the corona 19 booster shot . it is also criticized that the authorities have been pushing for the inoculation plan for forcibly , and the us authorities are also studying booster shot intersection . in the cbs broadcast interview , i wanted to secure modera and pfizer in the week that started on the 20th , but only one and the other could be soon . there is a relevant data for approval and it is likely to meet the time limit \ . modera is expected to be ready right away , [UNK] he added . it is reported that the white house has requested that it has been inadequate to approve the booster shot because the data submitted by the modern or side is insufficient and jansen has not yet submitted the data . based on the data submitted by the pfizer vaccine until the initiation of the shot , it is expected to be approved by the food and drug administration ( fda ) . "" effect \ "" \ "" it will be approved only when we are confident that the fda is fully reviewed and the booster shot is possible . "" overall , it is expected to be approved ( moder or even ) . [UNK] in addition , the health authorities said that the research is underway on the possibility of cross - vaccination . the person who was hit by a vaccine was looking at the vaccine booster shot or vice versa . "" the government ' s plan was to use a booster shot , and the government ' s plan was to use both pfizer , jansen , moder and vaccine from the 20th . it is also pointed out that the inoculation plan has been pushed forward . the republican governor larry hogan maryland said , "" the government is sending different messages . "" the white house said there was no political consideration , saying that the inoculation could be carried out as planned . after reviewing , it was confirmed . "" \ "" if the two agencies want to do additional vaccination , we will proceed immediately . """,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
" "" ( seoul = news1 ) lim se - young reporter = citizens are waiting for inspection at the corona 19 significant inspection center in garak market in songpa - gu , seoul on the 26th . since the first confirmed acquaintances were confirmed , 592 people were confirmed until the 23rd , and 66 people were added on the 24th , and the cumulative confirmed number increased to 659 .",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
" "" ( nonsan = news1 ) reporter kim nak - hee = nonsan - si , chungnam , has decided to focus on building a defense network in order to resolve the blind spot of foreign workers . when group infections occurred , they strengthened their defense by expanding the 19 prosecutors for foreign workers . accordingly , nonsan city has secured the remaining jansen vaccine residues in nearby cities and counties , and has been promoting vaccination for foreigners in the building since the 4th of last year . the city has decided to complete the vaccination for more than 70 % of 4364 foreigners who stay in the building by the 10th . hwang myung - sun said , [UNK] the current vaccination rate of nonsan city is 71 . 6 % , which is achieving a high rate in chungnam as well as in chungnam . "" we will do our best to ensure that vaccination can be promoted without any disruption to foreign workers and all citizens to achieve early immunity . "" "" it ' s an effective way , "" he said . "" i ask you to cooperate with vaccination . """,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
